"tv","glkey","tnameH","seasonGrade","gameDate","bookmarkFlag","scoreA","challengeSq","tnameA","tnameFH","scoreH","gameStart","gameTime","logoA","weekDay","logoH","tcodeA","isEnded","artcSq","gameNo","tcodeH","tvCode","gameEnd","seasonCode","stadiumnameEn","seasonCategoryName","gmkey","stadiumname","tnameFA","isStarted","replayUrl","seasonName1","stadiumnameF","gameCode","seasonCategory","playingQuarter","game_id"
"tvN SPORTS","S45G01","서울 삼성",1,"20250324",0,72,240,"수원 KT","서울 삼성 썬더스",54,"1900","145","kt","월","ss","06",1,10044694,240,"35","T36","2045",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N240","잠실실내","수원 KT 소닉붐",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N240"
"tvN SPORTS","S45G01","안양 정관장",1,"20250325",0,84,241,"고양 소노","안양 정관장 레드부스터스",93,"1900","202","sono","화","kgc","66",1,10044712,241,"70","T36","2102",45,"Anyang Gymnasium","정규시즌","S45G01N241","안양 정관장 아레나","고양 소노 스카이거너스",1,NA,"2024-2025","안양 정관장 아레나","01","R","X","S45G01N241"
"tvN SPORTS","S45G01","서울 삼성",1,"20250326",0,92,242,"창원 LG","서울 삼성 썬더스",69,"1900","147","lg","수","ss","50",1,10044735,242,"35","T36","2047",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N242","잠실실내","창원 LG 세이커스",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N242"
"IB SPORTS","S45G01","수원 KT",1,"20250327",0,81,243,"고양 소노","수원 KT 소닉붐",90,"1900","149","sono","목","kt","66",1,10044753,243,"06","T21","2049",45,"Suwon KT Sonicboom Arena","정규시즌","S45G01N243","수원 KT 아레나","고양 소노 스카이거너스",1,NA,"2024-2025","수원 KT 아레나","01","R","X","S45G01N243"
"tvN SPORTS","S45G01","원주 DB",1,"20250327",0,71,244,"울산 현대모비스","원주 DB 프로미",62,"1900","152","hd","목","db","10",1,10044754,244,"16","T36","2052",45,"Wonju Gymnasium","정규시즌","S45G01N244","원주종합","울산 현대모비스 피버스",1,NA,"2024-2025","원주종합체육관","01","R","X","S45G01N244"
"IB SPORTS","S45G01","부산 KCC",1,"20250328",0,96,245,"대구 한국가스공사","부산 KCC 이지스",67,"1900","141","pega","금","kcc","64",1,10044784,245,"60","T21","2041",45,"Busan Sajik Gymnasium","정규시즌","S45G01N245","부산사직","대구 한국가스공사 페가수스",1,NA,"2024-2025","부산사직체육관","01","R","X","S45G01N245"
"tvN SPORTS","S45G01","서울 SK",1,"20250328",0,78,246,"창원 LG","서울 SK 나이츠",79,"1900","139","lg","금","sk","50",1,10044785,246,"55","T36","2039",45,"Jamsil Student Gymnasium","정규시즌","S45G01N246","잠실학생","창원 LG 세이커스",1,NA,"2024-2025","잠실학생체육관","01","R","X","S45G01N246"
"tvN SPORTS","S45G01","울산 현대모비스",1,"20250329",0,79,247,"고양 소노","울산 현대모비스 피버스",94,"1400","148","sono","토","hd","66",1,10044818,247,"10","T36","1548",45,"Dongcheon Gymnasium","정규시즌","S45G01N247","울산동천","고양 소노 스카이거너스",1,NA,"2024-2025","울산동천체육관","01","R","X","S45G01N247"
"IB SPORTS","S45G01","서울 삼성",1,"20250329",0,82,248,"안양 정관장","서울 삼성 썬더스",72,"1400","137","kgc","토","ss","70",1,10044819,248,"35","T21","1537",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N248","잠실실내","안양 정관장 레드부스터스",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N248"
"tvN SPORTS","S45G01","수원 KT",1,"20250329",0,67,249,"원주 DB","수원 KT 소닉붐",69,"1600","150","db","토","kt","16",1,10044820,249,"06","T36","1750",45,"Suwon KT Sonicboom Arena","정규시즌","S45G01N249","수원 KT 아레나","원주 DB 프로미",1,NA,"2024-2025","수원 KT 아레나","01","R","X","S45G01N249"
